,loss,accuracy
0,2.832378387451172,0.3457655906677246
1,1.8205989599227905,0.5188550353050232
2,1.5782341957092285,0.5673305988311768
3,1.4420980215072632,0.5960026979446411
4,1.3450568914413452,0.6153184175491333
5,1.2623991966247559,0.6325880885124207
6,1.2052029371261597,0.6465243697166443
7,1.151058554649353,0.6572154760360718
8,1.1075503826141357,0.66771000623703
9,1.0733383893966675,0.6752303242683411
10,1.0357387065887451,0.6839702129364014
11,1.0084224939346313,0.6912872791290283
12,0.9834149479866028,0.6965447068214417
13,0.9634617567062378,0.7011111378669739
